이름,업종,전화번호,주소,평점,휴일
미친부엌  ,일식-해물요리,(064) 721-6382,제주 제주시 일도일동 1277-16 1층,4.2,매주 월요일
항구횟집  ,한식-해물요리,(064) 762-3565,제주 서귀포시 서귀동 658-2,3.9,격주 수요일 휴무
해촌  ,한식-해물요리,(064) 784-8001,제주 서귀포시 성산읍 성산리 399-10,4.0,연중무휴
풍림다방  ,카페/주점-커피전문,(010) 5775-7401,제주 제주시 구좌읍 평대리 1947-5,4.0,매주 화요일
어향  ,일식-생선회,(064) 744-8866,제주 제주시 도두이동 706-9,3.7,연중무휴
마카롱카페(MACARON CAFE)  ,카페/주점-카페,(064) 702-9982,제주 제주시 이도이동 1979-25 1층,3.9,매주 일요일 휴무
떡하니  ,분식,(010) 4200-1566,제주 제주시 구좌읍 행원리 734,3.6,매주 화요일
해난디(제주대명리조트)  ,호텔뷔페,(064) 780-5069,제주 제주시 조천읍 함덕리 274,4.0,연중무휴
키다리아저씨  ,한식-일반한식,(064) 784-3392,제주 제주시 우도면 연평리 1658-1,4.2,연중무휴
커피로드아이야  ,카페/주점-카페,(064) 784-3060,제주 서귀포시 성산읍 성산리 304-1,4.0,연중무휴
교래손칼국수  ,한식-국수전문,(064) 782-9870,제주 제주시 조천읍 교래리 491,3.3,"첫째, 셋째주 수요일"
대풍미락  ,일식-생선회(활어회전문),(064) 784-8100,제주 제주시 조천읍 함덕리 1028,3.6,명절
어마장장  ,한식-해물요리,(010) 8660-6848,제주 제주시 일도이동 1046-11,4.3,매주 일요일
저스트쉬림프  ,양식-해물요리,(070) 7622-3291,제주 제주시 애월읍 하귀1리 391-6,4.0,매주 화요일
더라운지(롯데호텔제주)  ,카페/주점-바,(064) 731-4250,제주 서귀포시 색달동 2812-4,4.3,연중무휴
젠하이드어웨이 제주  ,카페/주점-카페,(064) 794-0133,제주 서귀포시 안덕면 사계리 2032-10,4.1,비정기적 휴무
흑돼지가있는풍경  ,한식,(064) 742-1108,제주 제주시 노형동 668,3.9,연중무휴
해와달그리고섬  ,한식-해물요리,(064) 784-0941,제주 제주시 우도면 연평리 78-5,4.0,연중무휴
오오야마  ,카페/주점-주점,(064) 721-5567,제주 제주시 이도이동 1181-10,4.0,매주 일요일
스위트몬스터 제주애월점  ,카페/주점-카페,(070) 4548-0777,제주 제주시 애월읍 고내리 598-1,4.2,매주 화요일
아름다운소풍  ,양식-기타,(010) 7258-2004,제주 제주시 우도면 연평리 763,4.1,연중무휴
띠띠빵빵  ,베이커리,(064) 782-5959,제주 제주시 우도면 연평리 132,3.7,연중무휴
머하멘  ,패스트푸드-기타,(064) 783-0541,제주 제주시 우도면 연평리 66,3.9,비정기적
사려니숲길화덕피자  ,양식,(064) 783-7713,제주 제주시 조천읍 와흘리 산14-17,4.1,화요일휴무
황가네뚝배기  ,한식-해물요리,(064) 713-8887,제주 제주시 연동 291-121,3.9,연중무휴
유달산식당  ,한식-해물요리,(064) 758-2962,제주 제주시 건입동 1395,3.8,연중무휴
순정문어  ,한식-해물요리,(064) 746-6656,제주 제주시 용담삼동 1092-2,3.8,연중무휴
성읍타운  ,한식,(064) 787-8005,제주 서귀포시 표선면 성읍리 1523-5,3.6,없음
회양과국수군  ,한식,(064) 782-0150,제주 제주시 우도면 서광리 2473-9,3.9,없음
바당지기식당  ,한식-해물요리,(064) 784-6258,제주 제주시 구좌읍 월정리 30,3.9,"매월2,4주화요일"
딕시(Dixie)  ,카페/주점-카페,(064) 762-7007,제주 서귀포시 동홍동 116-7,3.8,연중무휴
돈구어  ,한식-삼겹살,(064) 782-9392,제주 제주시 구좌읍 세화리 3648-1,3.7,셋째주 수요일
마농(Manon)  ,기타/세계-퓨전푸드,(064) 745-1166,제주 제주시 도평동 48-10 바인빌딩 2층,4.0,연중무휴
김대감숯불갈비  ,한식-갈비,(064) 763-2777,제주 서귀포시 동홍동 114-1,4.1,첫째주 월요일
돈돈이네  ,한식-삼겹살,(064) 747-3161,제주 제주시 용담이동 865-4,4.3,연중무휴
돌하르방밀면  ,한식-국수전문,(064) 739-0023,제주 서귀포시 중문동 2439-8,4.0,연중무휴
제주몽  ,카페/주점-카페,(064) 738-8869,제주 서귀포시 중문동 2026,3.9,연중무휴
사계바다  ,일식-생선회,(064) 794-5501,제주 서귀포시 안덕면 사계리 2147-13,2.5,연중무휴
위키맨더라운지(W.M the lounge)  ,카페/주점-바,(064) 726-3526,제주 제주시 건입동 1319-48,4.0,연중무휴
운정이네 중문점  ,한식-일반한식,(064) 738-3883,제주 서귀포시 중문동 1239-5,3.6,연중무휴
말이랑흑도새기랑 제주점  ,한식(말고기전문점),(064) 744-7031,제주 제주시 노형동 291-24,3.9,명절
천금반점  ,중식,(064) 724-4040,제주 제주시 삼도이동 20-5,4.0,월요일휴무
천둥소리  ,한식-삼겹살,(064) 723-9200,제주 제주시 도남동 99-1,3.8,명절
돔베돈  ,한식(흑돼지전문점),(064) 753-0008,제주 제주시 건입동 1399-3,3.4,없음
메로식당  ,한식-일반한식,(064) 762-7899,제주 서귀포시 서귀동 257-3,4.6,"1,3째주 수요일"
담화헌  ,카페/주점-카페,(010) 9087-2953,제주 제주시 해안동 4,4.1,매주 목
고스트하우스  ,양식,(064) 799-6001,제주 제주시 애월읍 신엄리 2880-3,4.1,화요일
오일장떡볶이  ,분식,(064) 752-0876,제주 제주시 이도일동 1436-7,3.8,연중무휴
홍도니  ,한식,(064) 752-1294,제주 제주시 오라이동 3158,3.8,-
제주흑돼지와전복  ,한식-삼겹살,(064) 739-7171,제주 서귀포시 대포동 2211,3.8,연중무휴
산1950  ,양식-기타,(064) 747-9288,제주 제주시 애월읍 하귀2리 1674,3.8,연중무휴
노라바  ,한식-해물요리,(064) 772-1900,제주 제주시 애월읍 구엄리 1287-1,3.6,"1,4주목요일휴무"
버터모닝  ,카페/주점-카페,(064) 712-0461,제주 제주시 애월읍 광령리 3798-3,3.8,월요일휴무
남양수산  ,일식-생선회,(064) 782-6618,제주 서귀포시 성산읍 고성리 1191-1,4.2,"첫 째, 셋 째 일요일"
성미가든  ,한식,(064) 783-7092,제주 제주시 조천읍 교래리 532,4.0,"둘째, 넷째 목요일"
가파도해물짬뽕  ,중식-일반,(064) 794-6463,제주 서귀포시 대정읍 가파리 561-1,4.4,연중무휴
제일떡집  ,한식-기타,(064) 732-3928,제주 서귀포시 서귀동 276-15,4.1,연중무휴
커피가게쉬고가게  ,카페/주점-카페,(064) 787-6098,제주 서귀포시 표선면 표선리 40-71,3.9,연중무휴
뽈살집  ,한식-생고기/등심,(064) 763-6860,제주 서귀포시 서귀동 278-5,4.0,연중무휴
어멍(제주대명리조트)  ,한식-삼겹살,(064) 780-5131,제주 제주시 조천읍 함덕리 274,4.0,연중무휴
포도호텔레스토랑  ,양식-패밀리레스토랑,(064) 793-7030,제주 서귀포시 안덕면 상천리 산62-3 포도호텔,4.0,연중무휴
상록식당  ,한식-삼겹살,(064) 762-4974,제주 서귀포시 토평동 1310-20,4.0,매주 화요일
흑한우명품관  ,한식-생고기/등심,(064) 732-1486,제주 서귀포시 토평동 262-1,4.2,명절
칠돈가 중문점  ,한식-삼겹살,(064) 738-1191,제주 서귀포시 색달동 2312-1,3.8,연중무휴
숙이네보리빵  ,베이커리,(064) 799-1777,제주 제주시 애월읍 애월리 1584-1,3.7,"첫째, 셋째주 일요일"
용왕난드르식당  ,한식-일반한식,(064) 738-0715,제주 서귀포시 안덕면 창천리 876-11,3.9,연중무휴
씨에스가든(씨에스호텔)  ,한식-삼겹살,(064) 753-3000,제주 서귀포시 중문동 2563-1,4.0,연중무휴
브와두스(voix douce)  ,베이커리,(064) 744-4466,제주 제주시 연동 1498-2,3.9,연중무휴
삼다도횟집 본점  ,한식-기타,(064) 711-7085,제주 제주시 용담삼동 1100,3.9,첫째주 일요일
우리동네가시리  ,카페/주점-카페,(064) 787-0319,제주 서귀포시 표선면 가시리 1898-1,4.1,수요일휴무
다솔돌솥밥  ,한식-일반한식(돌솥밥전문),(064) 787-7710,제주 서귀포시 표선면 표선리 40-43,3.0,부정기적
옹포횟집  ,일식-생선회,(064) 796-1323,제주 제주시 한림읍 옹포리 578-1,3.9,연중무휴
백번가든  ,한식-갈비,(064) 799-6900,제주 제주시 애월읍 애월리 1584-4,3.8,연중무휴
보엠(BOHEME)  ,베이커리,(064) 711-9990,제주 제주시 노형동 731-2,4.0,매주 일요일
르에스까르고(Le escargot)  ,베이커리,(064) 748-0095,제주 제주시 노형동 1291-24,4.2,매주 일요일
스푼더마켓 제주점  ,한식-샤브샤브,(064) 747-4600,제주 제주시 연동 1371-4 한성빌딩 2층,4.4,연중무휴
진정  ,한식-해물요리,(064) 755-0592,제주 제주시 도남동 52-5,4.2,연중무휴
설농옥  ,한식,(064) 702-9903,제주 제주시 이도일동 1484-2,3.5,연중무휴
대원가  ,한식,(064) 753-3030,제주 제주시 도남동 62-1 재영샤르빌상가 101호,4.1,수요일휴무
표선어촌식당  ,일식-생선회,(064) 787-0175,제주 서귀포시 표선면 표선리 40-54,3.8,연중무휴
귤하르방  ,베이커리,(064) 752-6651,제주 제주시 이도일동 1436-7,4.1,연중무휴
구좌상회  ,카페/주점-카페,(010) 6600-6648,제주 제주시 구좌읍 월정리 417,3.9,화/수요일휴무
제주바닷가의나루터  ,한식-해물요리,(064) 722-5005,제주 제주시 용담삼동 1003-1,3.8,연중무휴
장승포식당  ,한식-해물요리,(064) 784-5354,제주 서귀포시 성산읍 고성리 298-11,3.4,연중무휴
다미진횟집  ,일식-생선회,(064) 787-5050,제주 서귀포시 표선면 표선리 40-51,4.1,연중무휴
가시아방국수  ,한식-국수전문,(064) 783-0987,제주 서귀포시 성산읍 고성리 528,3.9,"1,3주수요일휴무"
앞뱅디식당  ,한식-해물요리,(064) 744-7942,제주 제주시 연동 324-1,3.9,-
한우명가  ,한식-생고기/등심,(064) 735-9125,제주 서귀포시 색달동 2812-10 스위트호텔,3.9,연중무휴
마린보이  ,일식-생선회,(064) 742-2843,제주 제주시 용담삼동 2297-1,4.0,연중무휴
선흘곶  ,한식-한정식,(064) 783-5753,제주 제주시 조천읍 선흘리 산22,4.4,연중무휴
덤장  ,한식-해물요리,(064) 713-0550,제주 제주시 용담이동 731,3.4,연중무휴
부두식당  ,한식-해물요리,(064) 794-1223,제주 서귀포시 대정읍 하모리 770-46,4.1,매주 수요일 휴무
죽림횟집  ,한식-해물요리,(064) 733-7688,제주 서귀포시 서귀동 579-3,4.1,연중무휴
고래라면  ,분식,(064) 782-6685,제주 서귀포시 성산읍 삼달리 270-4,3.7,기타(비정기적)
희신이네  ,한식-닭/오리요리,(064) 762-0335,제주 서귀포시 서홍동 1651-1,3.8,"2,4주일요일휴무"
뽕바당짬뽕  ,중식-일반,(064) 724-8082,제주 제주시 용담삼동 2377,4.0,"둘째, 넷째주 금요일 휴무"
삼대국수회관 신제주점  ,한식,(064) 747-9493,제주 제주시 연동 295,3.7,연중무휴
어촌계식당  ,한식-해물요리,(064) 773-0010,제주 서귀포시 대정읍 신도리 3076-1,3.8,연중무휴
부래옥  ,카페/주점-카페,(064) 747-6446,제주 제주시 용담삼동 2377-2 3층,4.0,연중무휴
영해식당  ,한식-일반한식,(064) 794-2262,제주 서귀포시 대정읍 하모리 923-4,4.4,비정기적
연동길  ,한식-해물요리,(064) 748-9363,제주 제주시 연동 292-94,4.2,연중무휴
해성도뚜리  ,한식,(064) 713-6321,제주 제주시 애월읍 구엄리 1258,3.4,"매월2,4주 화요일"
하귀비바리 짬뽕  ,중식-일반,(064) 743-7090,제주 제주시 애월읍 하귀1리 138-1,3.0,목요일휴무
해송횟집  ,한식-해물요리,(064) 738-4060,제주 서귀포시 대포동 2356-1,4.4,연중무휴
늘봄흑돼지  ,한식-삼겹살,(064) 744-9001,제주 제주시 노형동 2343-3,4.1,연중무휴
청해야횟집  ,일식-생선회,(064) 722-4585,제주 제주시 용담삼동 517,4.0,연중무휴
사랑분식  ,분식,(064) 757-5058,제주 제주시 일도일동 1144-2,2.7,"명절, 비정기적 휴무"
아루요  ,일식,(064) 799-4255,제주 제주시 애월읍 유수암리 1040-5,4.0,공휴일
물꼬해녀의집·물꼬카페  ,한식-해물요리,(064) 784-7331,제주 제주시 우도면 연평리 891,4.0,연중무휴
마도로스횟집  ,일식-생선회,(064) 711-7747,제주 제주시 용담이동 436,4.0,연중무휴
1950하우스  ,양식,(070) 4247-1950,제주 제주시 애월읍 유수암리 1023,3.5,연중무휴
평대성게국수  ,한식-일반한식,(064) 783-2466,제주 제주시 구좌읍 평대리 1945-2,4.2,수요일휴무
진미명가  ,일식-생선회,(064) 794-3639,제주 서귀포시 안덕면 사계리 2072,4.1,"명절, 공휴일"
솔동산고기국수  ,한식-국수전문,(064) 733-5353,제주 서귀포시 서귀동 724-5,4.1,화요일휴무
일광회센타  ,일식-생선회,(064) 738-2411,제주 서귀포시 중문동 2175,4.1,연중무휴
메밀꽃차롱  ,한식-일반한식,(064) 711-6841,제주 제주시 연동 368-1,4.1,매주 월요일 휴무
싱싱회센타  ,한식-해물요리,(064) 702-8838,제주 제주시 일도일동 1103-3,4.0,명절
놀맨(NOLMAN)  ,분식,(064) 799-3332,제주 제주시 애월읍 애월리 2530,4.0,연중무휴
우도왕자이야기 3호점  ,카페/주점-카페,(064) 782-1823,제주 제주시 우도면 연평리 2516-2,4.0,연중무휴
카페카노푸스(씨에스호텔)  ,카페/주점-카페,(064) 735-3036,제주 서귀포시 중문동 2563-1,3.8,연중무휴
카페코지  ,카페/주점-카페,(064) 784-1005,제주 서귀포시 성산읍 성산리 363-5,4.4,연중무휴
공천포식당  ,한식-해물요리,(064) 767-2425,제주 서귀포시 남원읍 신례리 27-5 공천포식당,3.8,연중무휴
생이소리  ,한식-일반한식,(064) 753-4567,제주 제주시 봉개동 234-236,4.1,매주 수요일
바다를본돼지  ,한식,(064) 772-5509,제주 제주시 한경면 판포리 2881-4,3.8,비정기적
하영횟집  ,일식-생선회,(064) 739-8161,제주 서귀포시 서호동 130-6,3.8,"1,3주일요일휴무"
포도원 참숯불갈비  ,한식-생고기/등심,(064) 745-0880,제주 제주시 노형동 124-1,4.0,연중무휴
맥파이(MAGPIE) 제주점  ,카페/주점-호프,(064) 720-8227,제주 제주시 삼도이동 1261-7,4.0,매주 월요일
올리오  ,양식-이탈리아음식,(064) 782-2579,제주 제주시 조천읍 함덕리 1004-17,3.6,"첫쨰, 마지막주 화요일"
준반점  ,중식-일반,(064) 782-3936,제주 제주시 조천읍 함덕리 1004-29,3.5,연중무휴
흑돼지한마당  ,한식-삼겹살,(064) 787-1988,제주 서귀포시 표선면 표선리 40-42,4.1,연중무휴
서귀포흑돈  ,한식-생고기/등심,(064) 767-9718,제주 서귀포시 토평동 551-2,4.1,연중무휴
바당꺼몬딱  ,분식,(010) 3045-1342,제주 제주시 우도면 연평리 2649-1,4.0,연중무휴
사해방  ,중식-일반,(064) 738-7779,제주 서귀포시 대포동 747,4.0,"둘째, 넷째 수요일"
사해방흑돼지  ,한식-삼겹살,(064) 738-4577,제주 서귀포시 중문동 1891-7,4.1,연중무휴
204키친  ,양식-경양식,(070) 7543-2438,제주 제주시 이도이동 1186-16,4.0,연중무휴
총각네 연동점  ,한식-삼겹살,(064) 745-5353,제주 제주시 연동 313-17,4.0,"첫째주, 셋째주 월요일 휴무"
제주어장  ,일식-생선회,(064) 752-3332,제주 제주시 용담일동 425,4.0,연중무휴
팔랑개비  ,한식,(064) 782-4424,제주 서귀포시 성산읍 성산리 166-3,3.0,연중무휴
바다여행횟집  ,일식-생선회,(064) 787-5492,제주 서귀포시 표선면 표선리 40-44,4.0,연중무휴
곽지bar다  ,카페/주점,(010) 2975-1844,제주 제주시 애월읍 곽지리 1581-22,3.8,연중무휴
모디카(MODICA)  ,양식-이탈리아음식,(070) 4128-0519,제주 제주시 한림읍 한림리 905-19,4.0,월/화요일휴무
소랑(제주샤인빌리조트)  ,한식-일반한식,(064) 780-7413,제주 서귀포시 표선면 토산리 17,4.1,연중무휴
성산회관  ,한식-해물요리,(064) 783-8448,제주 서귀포시 성산읍 성산리 167-3,4.1,매주 화요일
더뷰(켄싱턴제주호텔)  ,카페/주점-바,(064) 735-8905,제주 서귀포시 색달동 2785,4.0,연중무휴
이모24시해장국  ,한식-일반한식,(064) 784-5958,제주 제주시 구좌읍 세화리 1515-9,4.1,연중무휴
순희뽀글이  ,한식,(064) 755-7441,제주 제주시 오라일동 2446-9,4.0,일요일휴무
천제연토속음식점  ,한식-일반한식,(064) 738-3120,제주 서귀포시 색달동 2539,4.3,연중무휴
안거리밖거리  ,한식-일반한식,(064) 763-2552,제주 서귀포시 서귀동 584-3,4.2,명절
저팔계깡통연탄구이  ,한식-삼겹살,(064) 783-1950,제주 제주시 조천읍 함덕리 1271,3.9,매주 수요일
명진전복  ,한식-해물요리,(064) 782-9944,제주 제주시 구좌읍 평대리 515-28,3.6,매주 화
이천식당  ,한식-일반한식,(064) 783-1006,제주 제주시 구좌읍 세화리 3644-7,4.4,비정기적
요네상회  ,카페/주점-카페,(010) 7737-0299,제주 서귀포시 남원읍 신례리 30-6,4.3,"매주 화요일, 수요일 휴무"
대우정  ,한식,(064) 757-9662,제주 제주시 삼도일동 569-27,3.9,"1,3주 일요일"
요요무문  ,카페/주점-카페,(064) 784-4217,제주 제주시 구좌읍 한동리 8-11 2층,3.7,매주 월요일
규태네양곱창  ,한식-곱창/양구이,(064) 747-6862,제주 제주시 노형동 917-10,3.8,"2,4주일요일휴무"
아루요2  ,일식,(064) 745-4858,제주 제주시 연동 255-6,3.8,-
야끼니꾸엔  ,카페/주점-주점,(010) 2701-3445,제주 서귀포시 중문동 2083-2,4.0,"첫째, 셋째주 일요일"
동도원  ,한식-일반한식,(064) 747-9996,제주 제주시 연동 260-14,4.0,연중무휴
델리지아(DELIZIA) 제주컨벤션센터  ,기타/세계-퓨전푸드,(064) 738-6400,제주 서귀포시 중문동 2700,3.9,연중무휴
돈파스  ,양식-경양식,(064) 726-1414,제주 제주시 이도이동 1768-21,4.1,연중무휴
하노이안브라더스  ,기타/세계-동남아음식,(064) 752-7494,제주 제주시 건입동 124-2,4.3,첫째주 셋째주 수요일 휴무
941헤르츠(941Hz)  ,카페/주점-카페,(010) 5001-1809,제주 제주시 노형동 941 2층,3.8,매주 월요일 휴무
호박다방  ,카페/주점-카페,(064) 799-0778,제주 제주시 애월읍 곽지리 1381,3.6,연중무휴
만강홍  ,중식,(064) 796-1771,제주 제주시 한림읍 한림리 1390-5,3.6,연중무휴
해미원횟집  ,일식-생선회,(064) 787-3311,제주 서귀포시 표선면 표선리 40-55,4.3,연중무휴
꽃밥  ,한식,(064) 799-4939,제주 제주시 애월읍 곽지리 1540-2,4.2,화요일
오라숲소리  ,한식,(064) 744-2545,제주 제주시 오라이동 1188-4,3.5,연중무휴
하영  ,한식-일반한식,(064) 738-6011,제주 서귀포시 색달동 2477-5,3.9,연중무휴
피노키오  ,카페/주점-카페,(010) 9627-3007,제주 제주시 우도면 연평리 862,4.1,연중무휴
보건식당  ,한식-해물요리,(064) 753-9521,제주 제주시 이도이동 1148-4,4.0,"첫째, 셋째 수요일"
일출왕뚝배기  ,한식-해물요리,(064) 784-1190,제주 서귀포시 성산읍 성산리 399-109,4.0,연중무휴
다시버시  ,한식-해물요리,(064) 783-5575,제주 제주시 구좌읍 세화리 1500-3,4.1,연중무휴
현옥식당  ,한식-일반한식,(064) 757-3439,제주 제주시 오라일동 2445,3.0,명절
씨푸드샹그릴라  ,뷔페,(064) 738-2111,제주 서귀포시 색달동 2950-5,3.8,연중무휴
모모야마(롯데호텔제주)  ,일식-정식,(064) 731-4230,제주 서귀포시 색달동 2812-4,4.0,연중무휴
천짓골  ,한식-삼겹살,(064) 763-0399,제주 서귀포시 서귀동 294-10,3.7,연중무휴
탑부평삼겹살  ,한식-삼겹살,(064) 721-7869,제주 제주시 건입동 1381-1,3.9,명절
가리본가  ,한식,(064) 749-7447,제주 제주시 연동 2326-7,4.0,첫째 주 일요일
유일반점  ,중식-일반,(064) 722-4100,제주 제주시 이도이동 1176-25,3.5,연중무휴
오키나와  ,일식-생선회,(064) 743-0072,제주 제주시 노형동 747-1,3.6,매주 일요일
쌍둥이돼지꿈  ,한식-생고기/등심,(064) 738-9981,제주 서귀포시 중문동 2167-20,3.7,연중무휴
유동커피  ,카페/주점-카페,(064) 733-6662,제주 서귀포시 서귀동 581-4,3.7,"1,3째주 화요일"
대포횟집  ,일식-생선회,(064) 738-1380,제주 서귀포시 대포동 2184,3.9,연중무휴
카페쇼코아르  ,카페/주점-카페,(064) 756-2253,제주 제주시 이도이동 1176-76,4.4,연중무휴
해월향  ,한식-생고기/등심,(064) 784-4080,제주 서귀포시 성산읍 고성리 1115-2,2.9,"둘째주, 넷째주 수요일 휴무"
골막식당  ,한식-국수전문,(064) 753-6949,제주 제주시 이도이동 362-1,4.2,일요일휴무
천제연(씨에스호텔)  ,한식-일반한식,(064) 735-3030,제주 서귀포시 중문동 2563-1,3.9,연중무휴
거제도횟집  ,일식-생선회,(064) 758-3737,제주 제주시 건입동 1435-2,4.3,연중무휴
광치기해산물촌  ,한식-해물요리,(064) 782-1750,제주 서귀포시 성산읍 고성리 352-22,4.0,연중무휴
범섬족발  ,한식-족발/보쌈,(064) 738-0199,제주 서귀포시 강정동 595,4.2,연중무휴
키친오브꾸르다기  ,기타/세계-퓨전푸드,(064) 751-5548,제주 제주시 이도이동 2039-2,4.0,매주 일요일 휴무
촵촵  ,일식,(010) 3692-6468,제주 제주시 이도이동 1962-8 1층,3.5,매주 일요일
한일식당  ,한식-일반한식,(064) 758-4614,제주 제주시 일도일동 1145-34,4.2,연중무휴
해진횟집  ,일식-생선회,(064) 722-4584,제주 제주시 건입동 1435-2,4.0,연중무휴
백가네꽃게찜전문점  ,한식-해물요리,(064) 702-8777,제주 제주시 이도이동 1175-4,4.0,"첫째, 셋째 일요일"
동복리해녀촌  ,한식-해물요리,(064) 783-5438,제주 제주시 구좌읍 동복리 1502-1,4.0,"매월2,4주화요일"
돈가네우가네  ,한식-삼겹살,(064) 733-7233,제주 서귀포시 동홍동 499-6,4.0,연중무휴
감귤창고  ,카페/주점-카페,(064) 792-9004,제주 서귀포시 안덕면 서광리 66-6,4.1,매주 수요일 휴무
금복식당  ,한식-일반한식,(064) 757-6055,제주 제주시 일도일동 1148-2,4.0,연중무휴
돈앤돌  ,한식-철판요리,(064) 743-1214,제주 제주시 노형동 920-16,3.9,연중무휴
소라횟집  ,일식-생선회,(064) 757-9953,제주 제주시 건입동 1319-87,4.0,연중무휴
바다목장  ,한식-일반한식,(064) 782-0006,제주 제주시 조천읍 함덕리 1004-30,4.1,연중무휴
종종캐주얼다이닝&카페  ,카페/주점-카페,(064) 747-8102,제주 제주시 연동 1496-4,4.3,매주 일요일 휴무
화로향  ,한식,(064) 724-4050,제주 제주시 건입동 1399-2,4.7,연중무휴
해적식당  ,한식-해물요리,(064) 782-5508,제주 제주시 우도면 연평리 1200-1,3.9,비정기적
연화키친  ,분식,(064) 900-9733,제주 제주시 애월읍 상가리 1697,4.1,수요일
해광식당  ,한식-국수전문,(064) 782-0234,제주 제주시 우도면 연평리 1287,3.8,연중무휴
뜰채  ,한식-해물요리,(064) 784-9044,제주 제주시 조천읍 함덕리 산14-58,4.1,연중무휴
장춘육당  ,한식-일반한식,(064) 742-8556,제주 제주시 연동 281-6,3.9,연중무휴
용두암해촌  ,한식,(064) 742-1516,제주 제주시 용담삼동 1026-3,2.6,연중무휴
호호불닭발 시청본점  ,한식-닭/오리요리,(064) 752-5266,제주 제주시 이도이동 1766-10,4.0,매주 수요일 휴무
곰막  ,한식-해물요리,(064) 727-5111,제주 제주시 구좌읍 동복리 667-1,3.9,"매월1,3주화요일휴무"
페닌슐라(롯데호텔제주)  ,양식-패밀리레스토랑,(064) 731-4240,제주 서귀포시 색달동 2812-4,3.8,연중무휴
봉봉커피  ,카페/주점-카페,(064) 782-3367,제주 제주시 우도면 연평리 763,3.8,연중무휴
해어랑  ,한식-해물요리,(064) 784-8828,제주 제주시 조천읍 함덕리 1004-10,3.3,연중무휴
한라축산물도매센터  ,한식-삼겹살,(064) 796-1010,제주 제주시 한림읍 동명리 1616,3.9,연중무휴
시즌박스  ,한식,(070) 7745-3577,제주 서귀포시 남원읍 위미리 1884-4,4.0,"수요일 (매월2주,4주 수&목 휴무)"
연미정전복돌솥밥  ,한식-해물요리,(064) 784-8856,제주 제주시 구좌읍 세화리 3648-4,2.8,"매월1,3주수요일휴무"
